序号,标题,日期,地点,观众数,花火数,详情链接
1,"第119回 長野えびす講煙火大会","2025年11月23日","県・長野市/長野大橋西側  犀川第2緑地","400,000人","未知","https://hanabi.walkerplus.com/detail/ar0420e01112/"
3,"新潟まつり花火大会","2025年8月10日","県・新潟市中央区/新潟市中央区信濃川河畔(","320,000人","未知","https://hanabi.walkerplus.com/detail/ar0415e00666/"
4,"全国新作花火チャレンジカップ2025","2025年9月6日","県・諏訪市/長野県諏訪市湖畔公園前諏訪湖上","250,000人","未知","https://hanabi.walkerplus.com/detail/ar0420e00806/"
5,"市川三郷町ふるさと夏まつり　第37回「神明の花火大会」","2025年8月7日","市川三郷町ふるさと夏まつり　第37回「神明の花火大会","200,000人","未知","https://hanabi.walkerplus.com/detail/ar0419e00910/"
6,"第51回 阿賀野川ござれや花火","2025年8月25日","県・新潟市北区/阿賀野川松浜橋上流側","200,000人","未知","https://hanabi.walkerplus.com/detail/ar0415e00061/"
7,"おぢやまつり大花火大会2024","2024年8月24日","県・小千谷市/信濃川河川敷(旭橋下流)","180,000人","未知","https://hanabi.walkerplus.com/detail/ar0415e00060/"
8,"ぎおん柏崎まつり 海の大花火大会","2025年7月26日","県・柏崎市/柏崎市中央海岸・みなとまち海浜","170,000人","100发","https://hanabi.walkerplus.com/detail/ar0415e00663/"
2,"長岡まつり大花火大会","2025年8月2日","県・長岡市/信濃川河川敷","5,000人","未知","https://hanabi.walkerplus.com/detail/ar0415e00665/"
